"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"ACTC1",3.55448864756957,7.02297728112962,24.4249122458916,0.000190432232137755,0.0149267131290644,3.21866001114223,1,1,3.21866001114223
"PTGES3L",2.15777957125068,2.68576192913491,23.9055795513742,7.28178108194965e-05,0.00885115781129904,2.29314013723888,1,0.875,2.29314013723888
"ACTG2",1.72334327461798,9.15136664065146,25.5196520847728,7.71629747529791e-05,0.00885115781129904,2.00275336964308,1,1,2.00275336964308
"CNN1",1.76687003437196,9.5989742904972,36.2097690986145,9.34952115209385e-06,0.0032978098483723,1.90650071194508,1,1,1.90650071194508
"HSPB7",1.47910355665325,7.42992374398795,15.3126300367676,0.00113866129876001,0.0382508863433453,1.88355345526539,1,1,1.88355345526539
"DOK7",2.57830621735225,0.8339692512534,16.1716935157288,0.000537634826854261,0.0254546636647207,2.37451145092278,0.75,0.75,1.78088358819208
"FABP3",1.67391037884685,5.18264195592109,25.5773378944347,7.04041511963946e-05,0.00885115781129904,1.7735851130718,1,1,1.7735851130718
"DES",1.55364469461388,7.26404667569793,18.7813889556055,0.000423245668783066,0.0222274287017234,1.76930101774464,1,1,1.76930101774464
"PLN",1.51081532949269,10.5966724839507,22.9404288729275,0.000133790527866524,0.0121262082556202,1.72360579463043,1,1,1.72360579463043
"RGS5",1.88848715790705,10.7183214268048,28.4918002209832,4.13777072217949e-05,0.0070337117011121,1.66845141853005,1,1,1.66845141853005
"MCAM",1.27670666861748,8.706364079167,17.7302526190655,0.00050068949550748,0.0245285697642883,1.50268798044778,1,1,1.50268798044778
"BTC",1.56789545475233,5.33868118618221,17.681739355288,0.000485461875698557,0.0241047690092019,1.4816328808258,1,1,1.4816328808258
"ASB2",1.46317079880189,3.92656561983501,12.9245534897147,0.00194946982767946,0.0498908507144021,1.47673722167659,1,1,1.47673722167659
"NCS1",1.09239649873954,4.53819869210908,13.0489236157008,0.00191775201451568,0.0494167848498544,1.4691047755463,1,1,1.4691047755463
"PPP2R2B",1.56235384441834,3.98924636901132,15.5002834355571,0.000813845417814489,0.0327742077987476,1.6562345490468,0.875,0.875,1.44920523041595
"FILIP1L",1.39546404200971,8.49367246016162,23.1245016378437,0.000128335091785872,0.0119123671710978,1.44473598324969,1,1,1.44473598324969
"TPM2",1.30996999777006,12.5075398429142,24.5246176075641,9.3068062568778e-05,0.0101948708902712,1.40314792858788,1,1,1.40314792858788
"PPP1R12B",1.17450809000432,8.71910905657555,18.1831318190244,0.000434591931215486,0.0225283848579796,1.3758751555161,1,1,1.3758751555161
"ACTA2",1.33969968151932,13.0208051723769,33.3897791015331,1.54725195508288e-05,0.00449922475906807,1.37490829342022,1,1,1.37490829342022
"HACD1",1.25037344918415,6.52944465706898,14.8011233096984,0.00111624137332861,0.0377661475204518,1.35900590387655,1,1,1.35900590387655
"SLMAP",1.15172194200978,7.3398920150396,14.5718853832949,0.00121656832018445,0.0393851530193438,1.35867263347526,1,1,1.35867263347526
"SLC25A4",1.2280725275907,7.74018927829263,44.8684449350848,2.31660270584748e-06,0.00146516040680089,1.35643089702204,1,1,1.35643089702204
"ALDH1B1",1.45377759226883,5.48941264217941,26.4250535248394,6.21608467144313e-05,0.00859830770876384,1.34168543908736,1,1,1.34168543908736
"SORBS2",1.2316218297089,8.70777772826186,18.2569766898857,0.000426935514789641,0.0222274287017234,1.33816712609064,1,1,1.33816712609064
"MAFTRR",1.89336234917576,1.16309703013897,14.1567253451973,0.000776802437644681,0.0319530775298216,1.47714235515736,0.875,0.75,1.29249956076269
"MBNL1-AS1",1.29390619208898,6.14466796236704,28.2432445740729,5.0438516491121e-05,0.00755568154912274,1.26904675459637,1,0.875,1.26904675459637
"PIP5KL1",1.73263141078792,0.790193578636896,12.6175823812859,0.0013906021510965,0.0423836139675847,1.44946803241616,0.875,0.875,1.26828452836414
"MYL9",1.27344893883132,12.5132854239774,29.0411564860703,3.5714183688603e-05,0.00671855223549999,1.252185506419,1,1,1.252185506419
"JPH1",2.07375707577147,2.34967470489201,17.486605882572,0.000338901357707617,0.0201753555101129,1.65273153620537,0.75,0.75,1.23954865215402
"CAMK2G",1.19327893142292,6.51792665238229,22.2832212561593,0.00015638821272907,0.0132198315165044,1.22348423458923,1,1,1.22348423458923
"KCNAB1",1.12720724113845,5.84740516524907,16.3653003115732,0.000682936202801395,0.0295780696701921,1.2220600773904,1,1,1.2220600773904
"PPP1R3C",1.35962737365023,6.94634862853025,24.0067641089015,0.00010466926999336,0.0107794067907761,1.21528186764851,1,1,1.21528186764851
"TAGLN",1.13943049673461,13.771747742352,34.9431767662022,1.16784841705745e-05,0.00366159407028079,1.21263802937531,1,1,1.21263802937531
"MRAP2",1.29127680890774,5.45273792913529,18.9569456363249,0.00035840140186359,0.0205556316215178,1.36501311525913,0.875,1,1.19438647585174
"COX6A2",1.78877702206541,2.32474554865113,13.7795789993064,0.00142276666063444,0.0430434990893761,1.17442226583759,1,0.875,1.17442226583759
"RAMP1",1.19561574253107,8.98831967853993,16.9282629040987,0.000609771695098905,0.0280236770232914,1.16953371240575,1,1,1.16953371240575
"HSPB8",1.35669169597803,5.82954607430892,18.9088073801268,0.00036899014688225,0.0208525107373256,1.15641600450973,1,1,1.15641600450973
"TMEM35A",1.27029858847627,3.4349372568923,17.6362481940065,0.000470400621996636,0.0237031513419662,1.1536133648651,1,1,1.1536133648651
"DSTN",1.12129777277919,12.0812782019723,27.369018110759,5.03337322920573e-05,0.00755568154912274,1.14671966307016,1,1,1.14671966307016
"DUSP26",1.48866938757459,5.42050797179285,25.8075487069998,6.68422554478501e-05,0.00885115781129904,1.1465502977088,1,1,1.1465502977088
"KCNMB1",0.876534070755119,7.57237676744477,28.8260793039652,3.73801654830553e-05,0.00693943098421615,1.1265016558068,1,1,1.1265016558068
"CYFIP2",1.29186086027309,5.96037713730134,23.9210101933445,0.000102660973190712,0.0106503211084394,1.10045505686526,1,1,1.10045505686526
"CSRP1",1.11105309075085,9.81729043098814,27.3176336915472,5.08746011174895e-05,0.00755568154912274,1.08044524046998,1,1,1.08044524046998
"MYLK",0.987149864249119,9.25473163542872,18.2628619855262,0.000425507444449535,0.0222274287017234,1.06741793367494,1,1,1.06741793367494
"BEX2",2.34424031442677,3.81266232021305,25.0797044858054,4.73788342614294e-05,0.00736675605607843,1.20689199399326,0.875,0.75,1.05603049474411
