"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"ADAM33",1.85299493090213,4.42415989659713,28.9216669430219,2.11342861607904e-05,0.0146460604470427,2.00434403418724,1,1,2.00434403418724
"RYR2",1.44296826353843,4.64284497763999,19.9608544048114,0.00018654204167066,0.0159684283829872,1.88866386300537,1,1,1.88866386300537
"STARD9",1.18578828060481,4.62000046900632,11.6336852439287,0.00248394307449648,0.04924216263717,1.47634025995115,1,1,1.47634025995115
"ZNF514",1.31051965350169,3.93547678984031,19.2691575420766,0.000202024925019238,0.0163779873324911,1.46341591432899,1,1,1.46341591432899
"FLNB",1.07626319130764,5.13399592656074,14.6999802812189,0.000880999608199725,0.0289358580468735,1.39154965302464,1,1,1.39154965302464
"ARHGEF18",1.27648706164994,3.19429056735306,18.9915059705918,0.000189252341676394,0.0160175497162377,1.30473180644287,1,1,1.30473180644287
"AJM1",1.26876030952884,2.92177081344067,16.9743022503726,0.00034592250537652,0.0190964523337402,1.44982932700707,0.875,0.875,1.26860066113119
"ATP8A1",1.49026429333178,2.62885198549908,16.5458505402432,0.000390815543740099,0.0203267346458181,1.44385512539119,0.875,0.875,1.26337323471729
"OGT",1.25161128100023,6.20280201969554,36.6263431776141,4.43966239428529e-06,0.0146460604470427,1.23933673685449,1,1,1.23933673685449
"MAPK8IP3",1.21769151276426,3.94941530969675,17.5157779151164,0.000326133506255981,0.0190740737372533,1.23712628304649,1,1,1.23712628304649
"SGSM2",1.2301837646117,4.29007940294865,23.3894486448564,7.031849803631e-05,0.0146460604470427,1.23181603773286,1,1,1.23181603773286
"FAM193B",1.06344342789515,4.24207068650393,15.9644475711141,0.000533502490125655,0.0234281511725909,1.38598290522247,0.875,1,1.21273504206966
"D2HGDH",0.985452366331063,4.24244852942725,13.5679851566108,0.00121585440250547,0.0330828378744073,1.36123411227036,0.875,1,1.19107984823656
"IGSF9B",1.48057971655316,4.70946115904781,23.0541861569009,7.21904600319715e-05,0.0146460604470427,1.330499899827,0.875,0.875,1.16418741234863
"NPIPA1",1.14376761641217,4.40793180469111,19.2586654756569,0.000196968998520332,0.0162355440593221,1.15086301405953,1,1,1.15086301405953
"GLS",0.825961178826335,6.71906655758328,11.766500312489,0.00241479604492657,0.0484851143208548,1.14594590311771,1,1,1.14594590311771
"LGR4",1.0540199517704,4.42944696868884,14.5582191919237,0.000881895216034568,0.0289358580468735,1.1438433835167,1,1,1.1438433835167
"FTX",1.01570666201545,7.72696227335655,21.0043231693257,0.000147740062196411,0.0151094483270309,1.13746361801709,1,1,1.13746361801709
"CACNA1C",1.05855946283617,6.15827036032206,23.4319171750332,7.94088600713679e-05,0.0146460604470427,1.12247418048072,1,1,1.12247418048072
"TRIO",0.971802525635426,5.07745241874944,21.0691842017889,0.000139488863851892,0.0151094483270309,1.11234529791676,1,1,1.11234529791676
"THRB-IT1",1.44331085844159,2.42301506822763,12.0132239824834,0.00188270645506774,0.0420407140966516,1.25749727662428,0.875,0.875,1.10031011704625
"EHBP1L1",1.19260405264125,6.12026829285816,14.6446916584724,0.000927918257338548,0.0289358580468735,1.09503350931152,1,1,1.09503350931152
"KHDC4",0.901765703726693,5.13692306494994,18.7282144872026,0.000266447846297778,0.0175920107082126,1.0879009285013,1,1,1.0879009285013
"DUS1L",1.0653910375811,4.58578079150791,14.671373375671,0.000857002215392068,0.0286242801562825,1.08764469400949,1,1,1.08764469400949
"MOGS",1.01538422205512,4.21828665338546,12.3211855777772,0.00185353196600111,0.0417172762467556,1.08686595978148,1,1,1.08686595978148
"GOLGA8A",1.14110796492298,5.61221015389026,16.2334684984512,0.000552267571034353,0.0239514197345514,1.08445338786811,1,1,1.08445338786811
"ARHGEF10L",1.12895472694245,5.04900815479303,20.4466101537354,0.000163286333009661,0.0153434724251412,1.07758325116865,1,1,1.07758325116865
"GABBR1",0.903654949601505,4.85093481267447,13.2970112824314,0.00134435074490631,0.0351794881932485,1.06872598961363,1,1,1.06872598961363
"DOT1L",1.18193143178079,2.24783694232576,12.774476036118,0.00136389664253283,0.0354055126144826,1.06104424717437,1,1,1.06104424717437
"SZT2",1.18332222450628,3.97069244480522,17.3310858126591,0.000363339465508114,0.0191092155460331,1.05920542143256,1,1,1.05920542143256
"POGZ",1.04534716084784,6.24558947831749,25.2328981239592,5.09808598857741e-05,0.0146460604470427,1.05705442284153,1,1,1.05705442284153
"SNHG14",1.10114691320897,7.74097259450777,21.6040739785298,0.000126213387976465,0.0151094483270309,1.04104852169055,1,1,1.04104852169055
"GTF3C1",1.02164448147416,4.38237499648111,26.2825929846865,3.41256978581463e-05,0.0146460604470427,1.03967262402058,1,1,1.03967262402058
"HECTD4",1.00662188625347,4.58452448754998,22.7838057828015,8.20290728821453e-05,0.0146460604470427,1.03951928192958,1,1,1.03951928192958
"LINC01252",1.41439475677064,2.42400364734243,16.8229174955863,0.000418340126855888,0.0208474114128644,1.17481244684599,0.875,0.875,1.02796089099024
"CPLANE1",1.06461386407927,5.31962320681501,22.4013881003959,0.000100534396447778,0.0148738507555808,1.02595918946152,1,1,1.02595918946152
"PKD1",0.99376148465592,6.37723401592062,21.93396201057,0.000116079880390101,0.0151094483270309,1.01717770828491,1,1,1.01717770828491
"TNRC18",1.09519472934404,5.70231740962366,21.1356572840408,0.000138582090253697,0.0151094483270309,1.01279306404612,1,1,1.01279306404612
"ARHGAP23",0.995653390295524,4.16963233382384,15.496421348453,0.000653011027642194,0.0256986654958753,1.15647673686847,0.875,1,1.01191714475991
"LENG8",1.13632141664837,6.32318107398595,28.8822368548393,2.19763083838819e-05,0.0146460604470427,1.00739525875497,1,1,1.00739525875497
"LINC00472",1.23950690680118,4.62777077403447,18.6043558095653,0.000271552293388203,0.0175920107082126,1.00492405254758,1,1,1.00492405254758
"AREL1",1.18625665184024,3.12180837664983,15.2999214933177,0.000609623868979621,0.0251317575481941,1.12956340019423,0.875,0.875,0.988367975169951
"GOLGA8B",1.21989651652145,4.99910471077105,14.9228436706232,0.000818696842382102,0.0281824168438908,0.987261719724214,1,1,0.987261719724214
"CCDC14",0.977858048346256,5.72629084196701,25.6899719963395,4.5555154417147e-05,0.0146460604470427,0.981693296030021,1,1,0.981693296030021
"STXBP5",1.05740555771849,5.10182146665165,24.0729180767677,6.16400379714514e-05,0.0146460604470427,0.973213060265647,1,1,0.973213060265647
"USP40",0.871317252993353,4.30830612525116,12.2821184078906,0.00180482751971371,0.0410307159522011,0.968624790297459,1,1,0.968624790297459
