"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"LUM",3.23963628820633,10.6873731330684,22.8113396358134,0.00012875454887724,0.00374838242974071,3.93493865750228,1,1,3.93493865750228
"COMP",4.11163748756279,6.71682421718403,29.8604509872632,1.96985706519941e-05,0.000968330064869993,3.85843196133307,1,1,3.85843196133307
"HTRA3",3.01174156634434,3.88099259592995,28.8369844202209,7.15134608993595e-06,0.000480807766486142,3.9722025374562,0.909090909090909,1,3.61109321586927
"GALNT5",3.76129008798792,3.42027672944563,31.670313059935,3.13895160881325e-06,0.000257171046289273,3.60419725418069,1,1,3.60419725418069
"FBLN2",3.58992836009488,6.28547653278982,68.3232865757968,3.33496008568115e-09,3.8462351203552e-06,3.59149853309427,1,1,3.59149853309427
"FNDC1",3.20443231833563,4.46250731748682,15.4002156638417,0.000630341907793069,0.0116388130831792,3.54297072376545,1,1,3.54297072376545
"GAS7",3.00017954574419,4.28611129737058,55.6826392700187,1.37602525758053e-08,7.36812381675175e-06,3.41335181767177,1,1,3.41335181767177
"CDH19",4.33841376160809,3.83268465818673,43.5450218357414,2.42977486520265e-07,4.33298753100183e-05,4.07632371171922,0.818181818181818,0.818181818181818,3.33517394595209
"CLDN11",2.68669443554028,2.4175835107995,21.8321850796941,4.12913900950502e-05,0.00169148035982264,3.60419725418069,0.909090909090909,0.909090909090909,3.27654295834608
"COL3A1",2.94301591903555,10.4338889101679,23.0979355696294,0.000122952798454596,0.00362880178588536,3.25294451933214,1,1,3.25294451933214
"SERPINE2",2.90074419718817,6.64895141236954,20.2648237177855,0.00018565442207129,0.00498838127260725,3.5210196937885,0.909090909090909,1,3.20092699435318
"TNFAIP6",3.22954081309853,5.0505427848232,19.4473293265879,0.000197194507967441,0.00518690747009797,3.46987283499581,0.909090909090909,1,3.15442984999619
"F2RL1",4.20425231035746,3.01662849226294,58.8465209831398,7.70507480342349e-09,5.73513080368408e-06,3.43060565252409,0.909090909090909,0.909090909090909,3.11873241138554
"DPT",3.46999785370968,6.53011220753513,62.7025543680026,1.29528797648577e-08,7.19268615979672e-06,3.34348133756773,0.909090909090909,1,3.03952848869793
"SERPINF1",2.94680237079155,7.03428358978962,24.3943499600961,7.55866542686027e-05,0.00255241150326388,2.94721566559322,1,1,2.94721566559322
"SCN7A",3.30848308855872,5.50704056780947,33.8356878720283,2.24579936437387e-06,0.000206561925280346,3.58205146167291,0.818181818181818,1,2.93076937773238
"HSD11B1",3.33209133748113,4.27878187527187,72.8894056439153,6.45843922641952e-10,1.21039224152135e-06,2.91836687758269,1,1,2.91836687758269
"NTM",3.02757861253912,4.33553879255803,13.1251576692811,0.00132065652562945,0.0193897405500654,2.89502583580949,1,1,2.89502583580949
"ABCA9",2.42491477613228,4.49642660997285,30.9490827029411,3.61598416115167e-06,0.000283845290723283,3.15070167323863,0.909090909090909,1,2.86427424839876
"CRABP2",3.06643209817598,5.4803953424198,16.6703894498442,0.000456031535936735,0.00936613810725955,3.42914631172151,0.818181818181818,1,2.80566516413578
"F2R",2.63542359225481,6.78115542369376,30.1598543696673,6.93827535369742e-06,0.00047070390216283,2.79798089659611,1,1,2.79798089659611
"PTHLH",3.4233546041659,3.90505545578325,37.4769129487502,8.62323286824843e-07,9.57728338515528e-05,3.06131543402201,0.909090909090909,0.909090909090909,2.7830140309291
"MXRA5",3.84681965446246,5.34532433994243,25.1076851273628,4.72839375866713e-05,0.00186710567354425,3.39836069790211,0.818181818181818,0.909090909090909,2.78047693464718
