"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"RGS16",2.08496942389165,6.8439404160347,41.539958232823,1.71334708215982e-06,0.00149879750094747,2.3348491984599,1,1,2.3348491984599
"MT1A",2.33645779716155,7.42990441575228,20.6776881148053,0.000290273815630986,0.0324029851287428,2.2042415286863,1,1,2.2042415286863
"ATF3",2.07267879820984,8.40293018905982,38.9271638596724,2.73212664528989e-06,0.00189090485120513,2.12374273573557,1,1,2.12374273573557
"ZFP36",2.12335731733506,10.4145037193822,21.2369307281747,0.000256759496865821,0.0303766235522794,2.08574662017591,1,1,2.08574662017591
"SOCS3",2.11006345803036,8.60235777811106,135.133224204267,6.80323332703429e-11,9.41703557128086e-07,2.07189175672195,1,1,2.07189175672195
"JUNB",1.96556812210531,11.3722447318138,72.9202700053537,1.85878152517218e-08,8.57641795714442e-05,1.9352103857738,1,1,1.9352103857738
"USP2",2.00832121690592,3.51423909705079,26.9360157752063,2.76199876129746e-05,0.00843074472785489,1.89559909552571,1,1,1.89559909552571
"MYC",1.96804626082905,6.46233445080964,23.1586067153544,0.00011347177164173,0.0190142711692443,1.88288169310595,1,1,1.88288169310595
"IER2",1.60093677691056,9.24869394954323,28.8661653666614,2.10290224861215e-05,0.00746368536545882,1.81718704458052,1,1,1.81718704458052
"BTG2",1.9100126779862,8.96959507003146,44.2907836891837,1.05261222285242e-06,0.00121418819906027,1.81254022891186,1,1,1.81254022891186
"JUN",1.92743048536008,10.7546274329407,28.4339058357667,3.55809865983518e-05,0.00895476393626155,1.77405140648115,1,1,1.77405140648115
"SERTAD1",1.37775758611371,6.97804391972237,22.091862182614,0.000106939156579543,0.0187373646249877,1.74980280712331,1,1,1.74980280712331
"FOS",1.65771517204583,11.4597543839144,22.7686157767518,0.000112317765000604,0.0190142711692443,1.64258484039137,1,1,1.64258484039137
"NAMPT",1.50641868410075,8.59505019415698,36.4016742936336,4.27367730961385e-06,0.00268892005998522,1.61249509130907,1,1,1.61249509130907
"GADD45B",1.70868670070077,10.1158478876618,41.4009634898742,1.73246351792801e-06,0.00149879750094747,1.6005298054243,1,1,1.6005298054243
"MAFF",1.49522107546379,6.2320490334424,21.0356216447469,0.000122719822654852,0.0192583801896977,1.50677332280326,1,1,1.50677332280326
"PPP1R15A",1.38511035210342,8.29945583630249,55.1472341930956,1.9148765463498e-07,0.000378653159351057,1.39359693316615,1,1,1.39359693316615
"SLC2A4",1.46376857491702,2.95751059239097,19.9045794231316,0.000136227489888198,0.0208563067503664,1.57724282238935,0.875,0.875,1.38008746959069
"CCNL1",1.37375563734306,8.17429796895638,39.0533203976706,2.62205743522559e-06,0.00189090485120513,1.36680671921925,1,1,1.36680671921925
"RHOB",1.40245884987348,9.18698735985035,24.3495664229149,6.07491522300523e-05,0.013240830213686,1.29080643485726,1,1,1.29080643485726
"CDKN1A",1.42694841561831,7.79155144705288,34.4500128808464,6.41531699877087e-06,0.00333361912121637,1.26430406789405,1,1,1.26430406789405
"EGR1",1.51637545785495,9.35024946853679,21.4238032042326,0.000149740974150325,0.0215907767103,1.42624336445628,0.875,1,1.24796294389924
"CSRNP1",1.34558726383459,5.58029745815036,33.4091098782506,6.44768319075199e-06,0.00333361912121637,1.22034701656715,1,1,1.22034701656715
"NR4A1",1.32416161018877,7.78319096314407,19.0329537649263,0.000246051401347019,0.0298074011921622,1.30674529625438,0.875,1,1.14340213422258
"LGI4",1.02733624835495,5.92114214873667,16.356204068003,0.000500458552464731,0.0472147184514656,1.0481000246611,1,1,1.0481000246611
"IRF1",1.13109113123397,6.36228763807072,16.1251320786357,0.000566391343467529,0.0494510304232216,1.35992745765282,0.75,1,1.01994559323961
"TSC22D1",0.887627465914449,9.84081109115144,20.1950482657533,0.000177956845805474,0.0239153267926153,0.986335971313454,1,1,0.986335971313454
"FBXL13",1.30343038889783,3.1574209699084,18.6119625240883,0.000220311184623115,0.0278642467721699,1.04068014502328,0.875,0.875,0.910595126895372
"SLC25A25",1.09073579433411,4.32904989096614,17.8913251221599,0.000303716653447245,0.0333654437858473,1.01890020162518,0.875,1,0.891537676422032
"TOB1",0.943241188895953,6.63204405723265,16.3496756494974,0.000530484687671248,0.048309006886483,0.935201285290459,0.875,1,0.818301124629152
"EIF4A1",0.786316527250275,7.0442748163246,17.2665377455792,0.000409659628822557,0.0410906418997235,0.687051401157385,1,1,0.687051401157385
