"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"RNASE1",2.18043411169536,5.62532673140903,35.0737266767492,4.98388885916707e-07,0.000525017092107113,2.32435996819127,0.916666666666667,0.916666666666667,2.13066330417533
"LAPTM5",2.04085212093818,5.76654519290171,28.1370192305463,5.57842077826132e-06,0.00200659877165361,2.11907752115284,1,1,2.11907752115284
"MS4A7",2.2070255517954,4.24006000608155,31.519970556754,1.04498109776168e-06,0.000733875296656629,2.03322165156259,1,1,2.03322165156259
"LCP1",2.43581528229952,3.55524176757838,28.3513949335064,2.56651652447851e-06,0.00126169952343363,2.14563490232836,0.916666666666667,0.916666666666667,1.966831993801
"FABP4",2.14347409170791,6.00650961547976,33.1720824921522,8.97442095018443e-07,0.00069660400091221,2.09608834228675,0.916666666666667,0.916666666666667,1.92141431376285
"FABP5",1.93974966691787,5.65166719684954,20.4267181278295,4.87184691047867e-05,0.00697572798405237,2.09493509887879,0.916666666666667,0.916666666666667,1.92035717397223
"TYROBP",1.9677059194871,6.45383604000422,34.1923305255607,5.67093693305364e-07,0.000557566519257834,1.85736610931075,1,1,1.85736610931075
"HLA-DQB1",2.03293283843718,5.38045246481475,14.2572432443042,0.000806890662551268,0.0361591583547139,2.16244653389753,0.833333333333333,0.833333333333333,1.80203877824795
"C1QC",2.19817576393838,5.31702513788823,25.9472590270606,9.32936229927743e-06,0.00269783206254399,1.96546284283268,0.916666666666667,0.916666666666667,1.80167427259663
"MS4A6A",2.33185175755664,4.29749175161997,28.9519842393466,1.92121133455083e-06,0.00113336099047823,2.15460139240256,0.833333333333333,0.833333333333333,1.79550116033547
"AIF1",2.25685459905669,5.3936512857334,41.8468033260316,5.32811744136346e-08,0.000130965126708714,2.13567350590992,0.833333333333333,0.833333333333333,1.7797279215916
"CD37",1.69883015544027,3.65607287754957,20.9722953090179,3.19145066024565e-05,0.00517225432278053,1.89185219066105,0.916666666666667,0.916666666666667,1.73419784143929
"CTSS",1.81465644279584,5.56010398302435,23.0812507875615,2.00766586346734e-05,0.0041123689103356,1.87154731000253,0.916666666666667,0.916666666666667,1.71558503416898
"C1QA",1.76750266700281,6.47964466350999,31.0005185099239,1.87657605463169e-06,0.00113336099047823,1.85787595462526,0.916666666666667,0.916666666666667,1.70305295840649
"C1QB",1.78915292182739,6.49784765926178,26.2835520840474,7.45387843562073e-06,0.00238977824279423,1.8053322232747,0.916666666666667,1,1.65488787133514
"FCER1G",1.68173122453223,5.79656435153351,28.3642788171328,3.31310445885648e-06,0.00143710778115339,1.64963402845905,1,1,1.64963402845905
"ALOX5",2.08763690157474,2.82029993040655,22.2252763490811,1.84633023712543e-05,0.00385182639279843,1.93512535199062,0.833333333333333,0.833333333333333,1.61260445999218
"GPSM3",2.04511228475754,3.36110632576285,19.8579259919514,4.34083118170648e-05,0.00646652305735426,2.14822173412017,0.75,0.833333333333333,1.61116630059013
"VAMP8",1.76559139942597,4.99150364542742,30.9072182780322,1.53169601117966e-06,0.000982150120559894,1.7223144325826,0.916666666666667,0.916666666666667,1.57878822986738
"CD74",1.5610423412743,8.56590001105998,13.4162691969786,0.00107487717844536,0.0420485109488388,1.54077119471378,1,1,1.54077119471378
"FCGR3A",1.88104102011444,3.77312299616085,15.6080578357778,0.000241241820723676,0.0191281417851224,1.94696070823868,0.75,0.75,1.46022053117901
"CD163",1.95052826886641,4.71285556700107,24.762846757041,9.62802562644246e-06,0.00273065619113026,1.91192633280944,0.75,0.75,1.43394474960708
"HCLS1",1.73031054469837,3.87855509457579,20.9988189982782,3.15652015405462e-05,0.00517225432278053,1.66883809116823,0.833333333333333,0.916666666666667,1.39069840930686
"HLA-DRB1",1.91571620371505,7.11964418690721,15.1228540239417,0.000694812344079329,0.0339346330254315,1.8122820381566,0.75,0.75,1.35921152861745
"ITGAX",1.89192668781448,2.68351494587148,11.1933259843872,0.00146059379699251,0.049375653006962,1.78377627480889,0.75,0.75,1.33783220610667
"SLA",1.84113117496228,2.9130416047703,17.3893897299145,0.000112554530919628,0.0122055457500197,1.7833980251287,0.75,0.75,1.33754851884652
"HIGD1B",2.83040048376302,5.85294084382202,18.6590365608493,0.000102415930298518,0.011530001069027,1.9948488283828,0.666666666666667,0.666666666666667,1.32989921892187
"NCF4",2.43399730865641,2.01817242414119,14.4463324908418,0.000367691232165753,0.0254587337651668,1.9854690313337,0.666666666666667,0.666666666666667,1.32364602088914
"HLA-DQA1",2.23242161326649,5.68310818987311,14.9960789184281,0.000656299661415615,0.0328105335815508,1.98241487618254,0.666666666666667,0.666666666666667,1.32160991745503
"HLA-DRA",1.8721047201239,8.21569543841304,15.6505158033995,0.000591275282475228,0.0314905130667381,1.55762114292153,0.833333333333333,0.833333333333333,1.29801761910128
"C1orf162",1.74270312697171,3.63136219163855,17.1588864340734,0.000124880037793534,0.0127897972040211,1.92517631918087,0.666666666666667,0.75,1.28345087945391
"FBP1",1.74662403484845,3.76506126999116,14.5796122397744,0.000393249033460776,0.0269425945897477,1.65169753449951,0.75,0.75,1.23877315087463
